WigleWifi-1.6,appRelease=v1.14,model=M5Stack GPS Unit,release=v1.14,device=ESP32 M5Stack,display=SPI TFT,board=ESP32 M5Stack,brand=Bruce,star=Sol,body=4,subBody=1
MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
C0:A3:6E:B6:60:A4,"SKYWIFI_9YUMR",[WPA2_PSK],2026-02-04 15:42:58,11,2462,-78,45.472056,7.867368,263.790000,0.700000,,,WIFI
C8:D3:A3:56:48:92,"Wind3onEarth",[WPA_WPA2_PSK],2026-02-04 15:42:58,1,2412,-86,45.472056,7.867368,263.790000,0.700000,,,WIFI
48:ED:E6:22:D8:71,"enel-WiFi_E622D871",[WPA2_WPA3_PSK],2026-02-04 15:42:58,9,2452,-86,45.472056,7.867368,263.790000,0.700000,,,WIFI
14:14:59:97:2A:91,"Vodafone-A72456863",[WPA2_PSK],2026-02-04 15:42:58,2,2417,-87,45.472056,7.867368,263.790000,0.700000,,,WIFI
78:20:51:3C:CF:6A,"Wind3onAir",[WPA2_PSK],2026-02-04 15:42:58,2,2417,-87,45.472056,7.867368,263.790000,0.700000,,,WIFI
AC:15:A2:03:EB:D0,"TP-Link",[WPA2_PSK],2026-02-04 15:42:58,5,2432,-89,45.472056,7.867368,263.790000,0.700000,,,WIFI
32:B0:5D:99:1F:70,"Vodafone EXT",[WPA2_PSK],2026-02-04 15:42:58,9,2452,-91,45.472056,7.867368,263.790000,0.700000,,,WIFI
B8:D5:26:8B:8E:3E,"Wind3onAir",[WPA2_PSK],2026-02-04 15:42:58,2,2417,-92,45.472056,7.867368,263.790000,0.700000,,,WIFI
14:14:59:CC:9A:31,"Vodafone-A57436711",[WPA2_PSK],2026-02-04 15:42:58,5,2432,-93,45.472056,7.867368,263.790000,0.700000,,,WIFI
dd:f0:d5:f9:6b:0d,"",Misc [BLE],2026-02-04 15:42:58,0,,-56,45.472056,7.867368,263.790000,0.700000,,004C,BLE
15:3e:9e:a3:1f:eb,"",Misc [BLE],2026-02-04 15:42:58,0,,-92,45.472056,7.867368,263.790000,0.700000,,0006,BLE
78:bd:bc:32:9e:d2,"",Misc [BLE],2026-02-04 15:42:58,0,,-89,45.472056,7.867368,263.790000,0.700000,,0075,BLE
67:88:3c:32:a2:1e,"",Misc [BLE],2026-02-04 15:42:58,0,,-55,45.472056,7.867368,263.790000,0.700000,,004C,BLE
c7:60:85:c8:ec:b9,"",Misc [BLE],2026-02-04 15:42:58,0,,-56,45.472056,7.867368,263.790000,0.700000,,004C,BLE
77:17:14:17:11:8f,"",Misc [BLE],2026-02-04 15:42:58,0,,-58,45.472056,7.867368,263.790000,0.700000,,004C,BLE
5b:5f:27:d8:9c:28,"",Misc [BLE],2026-02-04 15:42:58,0,,-59,45.472056,7.867368,263.790000,0.700000,,004C,BLE
dc:2f:ba:1f:64:96,"HRMPro+:336334",Misc [BLE],2026-02-04 15:42:58,0,,-50,45.472056,7.867368,263.790000,0.700000,,0087,BLE
d8:a3:5c:73:84:cf,"",Misc [BLE],2026-02-04 15:42:58,0,,-97,45.472056,7.867368,263.790000,0.700000,,0075,BLE
